player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,competition_id,season_name,season_id,position_group,minutes_full_all,minutes_full_tip,minutes_full_otip,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,explacceltosprint_count_full_all,timetosprint_top3,psv99,psv99_top5,total_distance_full_tip,total_metersperminute_full_tip,running_distance_full_tip,hsr_distance_full_tip,hsr_count_full_tip,sprint_distance_full_tip,sprint_count_full_tip,hi_distance_full_tip,hi_count_full_tip,medaccel_count_full_tip,highaccel_count_full_tip,meddecel_count_full_tip,highdecel_count_full_tip,explacceltohsr_count_full_tip,explacceltosprint_count_full_tip,total_distance_full_otip,total_metersperminute_full_otip,running_distance_full_otip,hsr_distance_full_otip,hsr_count_full_otip,sprint_distance_full_otip,sprint_count_full_otip,hi_distance_full_otip,hi_count_full_otip,medaccel_count_full_otip,highaccel_count_full_otip,meddecel_count_full_otip,highdecel_count_full_otip,explacceltohsr_count_full_otip,explacceltosprint_count_full_otip
Joshua Brillante,J. Brillante,5468,1993-03-25,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Midfield,87.22,25.55,24.34,20,0,10833.15,124.21,1920.25,529.65,44.6,105.5,5.5,635.15,50.1,121.85,3.05,103.55,14.35,2.2,0.73,0.65,1.51,27.11,28.78,3863.45,151.2,751.7,124.45,10.8,20.35,0.85,144.8,11.65,41.25,0.7,33.0,3.1,0.35,0.0,4141.2,170.12,1001.6,370.9,30.05,77.85,3.7,448.75,33.75,48.85,0.95,35.95,5.7,0.7,0.2
Juan Manuel Mata García,Juan Mata,5521,1988-04-28,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Center Forward,63.18,23.33,17.02,1,0,7734.0,122.41,1212.0,516.0,35.0,36.0,3.0,552.0,38.0,78.0,3.0,63.0,9.0,2.0,,0.0,,25.7,25.7,3465.0,148.5,676.0,257.0,20.0,22.0,1.0,279.0,21.0,35.0,1.0,23.0,2.0,0.0,0.0,2541.0,149.32,411.0,257.0,13.0,14.0,0.0,271.0,13.0,21.0,2.0,20.0,3.0,0.0,0.0
Juan Manuel Mata García,Juan Mata,5521,1988-04-28,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Midfield,68.36,18.35,18.77,3,0,8418.67,123.16,1511.33,301.0,26.33,45.33,3.0,346.33,29.33,84.33,2.33,73.33,10.33,0.33,,0.0,,25.73,25.73,2908.67,158.51,666.33,99.33,7.33,21.33,0.67,120.67,8.0,25.67,0.33,19.67,2.0,0.0,0.0,3126.67,166.61,721.0,179.33,15.0,20.67,1.0,200.0,16.0,34.0,0.0,27.33,3.33,0.0,0.0
Kévin Boli,K. Boli,5805,1991-06-21,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Central Defender,93.14,24.3,24.05,8,0,8978.88,96.4,925.88,317.12,29.0,72.75,4.0,389.88,33.0,97.38,4.38,81.0,9.25,3.0,0.78,0.5,,27.52,28.48,2868.75,118.07,287.38,65.5,6.75,14.88,0.75,80.38,7.5,26.25,1.38,20.12,2.25,0.5,0.0,3203.38,133.18,497.38,211.12,18.0,49.5,2.12,260.62,20.12,40.62,1.88,29.0,2.0,1.12,0.38
Marco Rojas,M. Rojas,6799,1991-11-05,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Wide Attacker,68.47,24.22,19.92,1,0,9037.0,131.99,1446.0,695.0,60.0,249.0,12.0,944.0,72.0,85.0,4.0,75.0,14.0,4.0,,0.0,,29.0,29.0,3630.0,149.9,613.0,303.0,33.0,200.0,8.0,503.0,41.0,38.0,2.0,25.0,4.0,0.0,0.0,3235.0,162.43,707.0,333.0,26.0,47.0,3.0,380.0,29.0,27.0,1.0,26.0,6.0,1.0,0.0
Marin Jakoliš,M. Jakoliš,6871,1996-12-26,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Center Forward,99.78,23.6,29.88,2,0,10751.5,107.75,1362.0,437.0,49.0,171.5,8.5,608.5,57.5,96.0,5.5,82.0,13.5,4.0,,2.0,,30.45,30.45,3452.0,146.27,638.5,205.0,21.0,87.0,4.0,292.0,25.0,33.5,2.0,23.0,2.5,1.0,0.5,3937.5,131.8,582.5,205.0,22.5,67.0,3.0,272.0,25.5,34.5,2.0,31.0,5.5,2.0,0.5
Marin Jakoliš,M. Jakoliš,6871,1996-12-26,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Full Back,98.12,25.4,22.32,1,0,9796.0,99.84,1212.0,462.0,50.0,193.0,13.0,655.0,63.0,107.0,5.0,84.0,22.0,2.0,,0.0,,27.6,27.6,3456.0,136.06,672.0,210.0,27.0,126.0,7.0,336.0,34.0,41.0,3.0,30.0,7.0,0.0,0.0,2940.0,131.74,405.0,209.0,19.0,53.0,4.0,262.0,23.0,40.0,2.0,26.0,5.0,2.0,0.0
Marin Jakoliš,M. Jakoliš,6871,1996-12-26,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Midfield,96.2,26.58,23.98,1,0,10307.0,107.14,1293.0,469.0,48.0,209.0,11.0,678.0,59.0,95.0,3.0,87.0,10.0,0.0,,0.0,,30.2,30.2,3681.0,138.47,600.0,219.0,26.0,109.0,6.0,328.0,32.0,32.0,1.0,26.0,3.0,0.0,0.0,3271.0,136.39,518.0,213.0,18.0,73.0,4.0,286.0,22.0,33.0,1.0,29.0,3.0,0.0,0.0
Marin Jakoliš,M. Jakoliš,6871,1996-12-26,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Wide Attacker,92.85,25.68,24.76,20,0,9868.35,106.28,1192.45,540.25,54.95,212.55,11.0,752.8,65.95,100.2,5.6,84.55,16.45,4.45,0.69,1.45,1.35,29.93,31.68,3520.5,137.09,584.4,296.95,29.2,135.55,6.05,432.5,35.25,40.3,2.4,27.4,4.95,1.95,0.7,3279.0,132.41,479.5,199.5,19.85,56.55,2.65,256.05,22.5,32.45,1.6,27.15,3.9,1.0,0.3
Mathew Leckie,M. Leckie,7252,1991-02-04,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Midfield,89.51,25.3,21.95,6,0,10473.67,117.01,1568.0,506.5,52.0,173.5,9.5,680.0,61.5,112.33,5.17,97.17,17.0,3.67,0.62,0.83,1.35,28.83,29.3,3663.5,144.79,621.33,215.83,23.0,71.17,4.33,287.0,27.33,40.5,1.67,31.17,4.83,1.5,0.17,3658.5,166.7,795.0,263.0,25.5,89.17,4.17,352.17,29.67,40.67,2.17,30.33,4.5,1.5,0.17
Roderick Jefferson Gonçalves Miranda,Roderick Miranda,9175,1991-03-30,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Central Defender,96.14,26.45,23.38,28,0,9509.14,98.91,1079.57,400.57,37.54,125.61,7.25,526.18,44.79,101.43,4.57,78.86,12.14,2.43,0.75,0.43,1.43,28.42,30.1,3134.25,118.52,347.5,86.07,7.68,16.57,0.96,102.64,8.64,25.21,1.11,20.82,2.11,0.39,0.04,3257.64,139.31,559.82,270.32,25.07,94.89,4.75,365.21,29.82,43.29,1.75,28.46,4.32,1.0,0.18
Samuel Souprayen,S. Souprayen,9520,1989-02-18,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Central Defender,97.6,30.32,23.97,20,0,10423.3,106.8,1307.0,361.6,31.7,73.35,4.55,434.95,36.25,104.45,3.45,85.15,7.9,1.4,0.8,0.25,,27.45,28.88,3839.3,126.63,475.9,105.75,9.35,15.15,0.75,120.9,10.1,33.2,0.8,28.55,2.6,0.3,0.1,3533.75,147.41,649.15,221.75,19.1,53.2,2.7,274.95,21.8,41.3,1.35,29.2,2.5,0.45,0.1
Trent Sainsbury,T. Sainsbury,10549,1992-01-05,Central Coast Mariners Football Club,870,AUS - A-League,61,2024/2025,95,Central Defender,90.77,23.63,29.62,13,0,9676.15,106.6,1028.15,330.54,35.77,114.85,6.69,445.38,42.46,100.77,4.31,82.15,10.62,2.77,0.69,1.15,1.4,28.45,29.68,2902.31,122.84,293.15,64.46,5.85,17.46,0.85,81.92,6.69,24.69,1.0,19.92,2.0,0.08,0.0,4167.23,140.7,608.62,231.62,25.31,86.54,4.23,318.15,29.54,47.92,1.92,34.85,3.62,1.38,0.46
Trent Sainsbury,T. Sainsbury,10549,1992-01-05,Central Coast Mariners Football Club,870,AUS - A-League,61,2024/2025,95,Full Back,97.3,25.02,25.52,1,0,10408.0,106.97,1427.0,350.0,37.0,112.0,6.0,462.0,43.0,100.0,6.0,88.0,12.0,3.0,,0.0,,29.9,29.9,3292.0,131.59,515.0,76.0,10.0,22.0,1.0,98.0,11.0,30.0,2.0,26.0,3.0,2.0,0.0,3688.0,144.53,705.0,222.0,21.0,89.0,3.0,311.0,24.0,42.0,2.0,26.0,5.0,1.0,0.0
Valère Germain,V. Germain,10623,1990-04-17,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Center Forward,96.66,28.07,26.38,16,0,9711.5,100.47,1129.06,395.44,38.12,106.06,5.31,501.5,43.44,98.38,5.44,81.62,12.81,2.88,0.75,0.69,1.58,28.26,30.0,3621.31,129.02,620.38,261.75,23.44,77.94,3.44,339.69,26.88,42.44,2.12,28.19,4.56,1.12,0.31,3221.44,122.13,400.19,114.25,11.62,23.38,0.88,137.62,12.5,29.5,1.81,27.12,2.81,0.38,0.06
Valère Germain,V. Germain,10623,1990-04-17,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Wide Attacker,98.12,25.5,28.83,1,0,9815.0,100.03,1217.0,253.0,30.0,73.0,4.0,326.0,34.0,95.0,7.0,91.0,9.0,4.0,,2.0,,27.7,27.7,3199.0,125.45,584.0,175.0,17.0,46.0,2.0,221.0,19.0,41.0,4.0,30.0,4.0,2.0,2.0,3539.0,122.74,499.0,76.0,10.0,25.0,1.0,101.0,11.0,29.0,2.0,31.0,3.0,0.0,0.0
Zinédine Machach,Z. Machach,11117,1996-01-05,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Center Forward,87.83,22.6,24.02,1,0,10405.0,118.46,1634.0,501.0,48.0,96.0,7.0,597.0,55.0,104.0,5.0,88.0,11.0,5.0,,0.0,,26.8,26.8,3538.0,156.55,752.0,385.0,31.0,86.0,5.0,471.0,36.0,41.0,2.0,26.0,4.0,2.0,0.0,3723.0,155.02,704.0,78.0,9.0,9.0,1.0,87.0,10.0,34.0,1.0,28.0,2.0,0.0,0.0
Zinédine Machach,Z. Machach,11117,1996-01-05,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Midfield,86.27,24.07,20.68,25,0,9779.12,113.36,1376.56,416.8,39.68,116.92,6.2,533.72,45.88,92.96,3.44,77.84,12.64,1.72,0.71,0.52,1.48,28.37,30.5,3573.8,148.48,661.72,256.48,23.28,83.76,3.8,340.24,27.08,35.72,1.32,25.76,3.48,0.88,0.16,3171.6,153.36,575.8,137.72,13.0,26.24,1.16,163.96,14.16,29.76,0.8,23.36,2.56,0.24,0.12
Daniel Arzani,D. Arzani,11885,1999-01-04,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Midfield,90.83,21.9,19.6,1,0,9436.0,103.88,1277.0,701.0,72.0,268.0,18.0,969.0,90.0,102.0,8.0,90.0,15.0,6.0,,3.0,,29.2,29.2,3419.0,156.12,693.0,391.0,41.0,174.0,11.0,565.0,52.0,44.0,4.0,32.0,4.0,3.0,1.0,2664.0,135.92,428.0,253.0,25.0,75.0,5.0,328.0,30.0,27.0,2.0,22.0,4.0,2.0,1.0
Daniel Arzani,D. Arzani,11885,1999-01-04,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Wide Attacker,77.2,21.72,18.57,18,0,8738.89,113.19,1305.94,636.78,62.06,225.78,13.17,862.56,75.22,100.11,7.44,77.44,21.44,5.28,0.62,1.61,1.27,29.28,30.88,3326.33,153.15,677.39,368.44,34.0,144.33,7.5,512.78,41.5,42.39,3.39,27.17,6.22,2.56,0.67,2626.94,141.49,488.61,217.5,20.67,56.83,3.22,274.33,23.89,29.67,1.83,21.5,5.06,1.11,0.28
Andrew  Nabbout,A. Nabbout,11887,1992-12-17,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Center Forward,95.58,28.25,25.35,2,0,10841.0,113.42,1356.5,699.5,69.5,246.5,15.5,946.0,85.0,104.0,6.5,90.0,13.5,4.0,,0.5,,29.65,29.65,3913.0,138.51,548.5,304.5,35.0,165.5,7.5,470.0,42.5,40.5,3.0,29.0,3.5,2.5,0.5,3920.0,154.64,683.5,337.5,28.0,68.5,5.0,406.0,33.0,34.5,1.5,31.0,4.5,0.0,0.0
Aziz Eraltay Behich,A. Behich,11891,1990-12-16,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Central Defender,97.92,34.58,21.82,2,0,10426.5,106.47,1332.0,411.0,44.5,178.0,8.0,589.0,52.5,118.5,5.5,98.0,14.5,2.5,,1.5,,29.7,29.7,4235.5,122.47,545.0,168.0,18.0,53.0,2.0,221.0,20.0,45.0,2.0,37.5,4.5,0.0,0.0,3288.0,150.65,634.5,196.5,23.5,115.5,4.0,312.0,27.5,39.5,2.0,28.0,3.5,1.0,0.5
Aziz Eraltay Behich,A. Behich,11891,1990-12-16,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Full Back,98.83,30.07,24.77,25,0,10562.72,106.88,1447.36,544.04,52.88,189.72,10.56,733.76,63.44,115.84,6.56,98.68,20.0,4.8,0.59,2.0,1.21,29.52,31.24,3774.68,125.53,599.44,238.4,23.84,91.76,4.64,330.16,28.48,41.92,3.16,33.2,6.68,2.16,0.92,3686.08,148.84,683.48,263.04,24.44,85.08,4.36,348.12,28.8,43.16,1.88,30.04,4.76,1.16,0.36
Matthew Jurman,M. Jurman,11895,1989-12-08,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Central Defender,89.95,25.67,23.04,10,0,8819.5,98.05,889.2,309.0,25.9,80.0,3.6,389.0,29.5,94.1,4.3,74.5,9.1,1.7,0.72,0.4,,27.04,28.4,2997.4,116.78,275.8,57.2,5.9,9.4,0.3,66.6,6.2,24.2,0.8,20.7,1.9,0.1,0.0,3045.4,132.21,454.9,181.2,16.8,38.1,1.8,219.3,18.6,39.0,1.9,24.9,2.6,0.7,0.1
Josh Risdon,J. Risdon,11897,1992-07-27,Perth Glory Football Club,871,AUS - A-League,61,2024/2025,95,Full Back,93.09,19.36,31.87,15,0,10121.27,108.72,1373.07,575.2,52.67,158.0,9.4,733.2,62.07,106.87,7.07,91.6,20.07,4.93,0.61,1.87,1.37,28.45,29.26,2619.73,135.33,470.33,188.13,17.33,44.6,2.73,232.73,20.07,28.6,2.0,20.8,4.0,1.2,0.67,4454.53,139.77,734.0,340.6,30.07,103.8,5.13,444.4,35.2,49.13,2.6,38.6,6.6,1.67,0.53
Saîf-Eddine Khaoui,S. Khaoui,12120,1995-04-27,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Midfield,65.01,18.3,13.81,2,0,7326.0,112.69,1101.0,455.5,35.5,69.5,4.0,525.0,39.5,77.5,3.5,70.0,12.0,2.5,,0.0,,26.7,26.7,2935.0,160.38,574.0,281.0,19.5,36.5,2.5,317.5,22.0,30.5,1.0,23.0,3.5,1.0,0.0,1989.5,144.08,387.5,146.0,13.0,22.5,1.0,168.5,14.0,21.5,1.0,17.5,3.0,0.5,0.0
Luke Amos,L. Amos,12185,1997-02-23,Perth Glory Football Club,871,AUS - A-League,61,2024/2025,95,Midfield,70.28,17.98,23.67,7,0,8915.43,126.86,1752.14,573.43,45.14,89.14,6.14,662.57,51.29,92.29,3.0,79.57,13.0,1.71,0.78,0.86,1.74,26.57,26.84,2745.0,152.7,600.86,163.0,12.0,21.86,1.43,184.86,13.43,26.86,0.71,19.57,2.43,0.43,0.14,4053.86,171.29,1035.71,381.43,29.43,62.29,3.14,443.71,32.57,43.57,1.0,33.86,6.0,0.29,0.0
Francisco de Oliveira Geraldes,Chico Geraldes,12780,1995-04-18,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Center Forward,90.38,16.72,29.69,2,0,10181.5,112.65,1440.5,409.5,43.0,163.0,8.5,572.5,51.5,112.5,6.5,90.5,11.5,6.0,,0.5,,28.5,28.5,2619.0,156.67,602.5,215.0,19.0,55.0,3.5,270.0,22.5,32.0,2.5,21.5,2.0,2.0,0.0,4401.5,148.24,708.0,168.5,21.0,100.0,4.0,268.5,25.0,49.0,1.5,37.0,6.0,1.0,0.5
Francisco de Oliveira Geraldes,Chico Geraldes,12780,1995-04-18,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Midfield,85.3,21.78,27.22,2,0,10256.0,120.23,1510.0,534.0,47.0,152.5,8.0,686.5,55.0,101.5,3.5,87.0,11.5,3.0,,1.5,,28.5,28.5,3236.5,148.58,638.5,265.5,22.0,72.0,4.0,337.5,26.0,35.5,1.5,22.5,4.0,1.5,0.5,4317.0,158.62,752.5,238.5,22.5,70.0,3.0,308.5,25.5,43.0,1.0,35.5,4.5,0.5,0.5
Francisco de Oliveira Geraldes,Chico Geraldes,12780,1995-04-18,Wellington Phoenix FC,867,AUS - A-League,61,2024/2025,95,Wide Attacker,68.5,19.58,21.38,1,0,8143.0,118.88,1335.0,432.0,40.0,104.0,6.0,536.0,46.0,89.0,5.0,77.0,12.0,4.0,,1.0,,26.6,26.6,2942.0,150.23,653.0,242.0,23.0,63.0,4.0,305.0,27.0,36.0,1.0,26.0,3.0,1.0,0.0,3166.0,148.06,570.0,160.0,13.0,22.0,1.0,182.0,14.0,33.0,1.0,28.0,6.0,0.0,0.0
Alex Gersbach,A. Gersbach,13244,1997-05-08,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Full Back,93.18,25.56,26.52,6,0,10676.17,114.57,1508.83,643.17,58.0,168.83,11.0,812.0,69.0,110.0,6.83,94.67,16.5,5.33,0.71,2.5,1.39,28.1,28.18,3516.5,137.59,570.17,255.17,24.33,82.17,5.33,337.33,29.67,34.67,2.17,26.67,4.0,1.67,0.67,3958.83,149.28,746.17,330.83,27.83,72.5,4.0,403.33,31.83,47.5,2.0,35.0,5.5,1.67,1.0
Bozhidar Kraev,B. Kraev,13542,1997-06-23,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Wide Attacker,88.51,24.89,24.46,23,0,10587.48,119.61,1690.61,672.78,59.91,186.52,10.3,859.3,70.22,114.87,6.43,98.17,17.17,4.3,0.66,0.87,1.5,28.48,29.92,3757.26,150.95,694.7,335.48,29.78,120.91,5.65,456.39,35.43,43.48,2.39,29.48,4.39,1.7,0.22,3802.22,155.43,846.91,295.0,24.35,50.48,3.0,345.48,27.35,42.83,2.13,34.04,5.87,1.3,0.17
Marcus Antonsson,M. Antonsson,13567,1991-05-08,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Center Forward,71.74,22.61,20.18,3,0,8417.0,117.33,936.0,467.0,45.0,189.33,8.67,656.33,53.67,81.33,4.67,68.33,11.0,3.0,,0.33,,30.57,30.57,3294.33,145.7,466.0,220.67,22.67,126.0,4.33,346.67,27.0,33.67,1.67,23.0,4.33,1.0,0.0,2976.67,147.48,386.33,206.33,17.0,48.0,2.67,254.33,19.67,27.33,1.33,22.0,3.67,1.0,0.33
Louis Verstraete,L. Verstraete,14736,1999-05-04,Auckland FC,4177,AUS - A-League,61,2024/2025,95,Midfield,93.19,22.91,23.93,21,0,11724.86,125.81,2220.71,618.48,50.19,90.24,5.81,708.71,56.0,106.81,3.24,90.62,11.43,1.52,0.8,0.24,1.91,26.57,27.8,3813.1,166.42,851.81,161.1,13.9,18.29,1.0,179.38,14.9,33.57,0.9,24.38,2.57,0.38,0.0,4321.0,180.57,1160.86,406.62,31.86,66.86,3.33,473.48,35.19,42.76,1.05,32.0,4.48,0.38,0.14
Patryk Klimala,P. Klimala,17231,1998-08-05,Sydney Football Club,869,AUS - A-League,61,2024/2025,95,Center Forward,87.63,27.31,18.96,19,0,8423.26,96.13,912.37,497.89,55.26,236.05,12.58,733.95,67.84,92.79,9.68,75.58,18.89,7.16,0.58,2.37,1.11,30.84,32.58,3139.79,114.97,397.16,216.32,26.58,134.79,6.05,351.11,32.63,40.84,3.21,26.74,5.95,2.58,1.26,2631.05,138.78,414.79,244.42,24.11,87.74,5.05,332.16,29.16,26.11,2.37,21.37,4.95,1.68,0.32
